,id,retweet_count,favorite_count
0,892420643555336193,8559,38693
1,892177421306343426,6294,33167
2,891815181378084864,4176,24967
3,891689557279858688,8683,42080
4,891327558926688256,9452,40228
5,891087950875897856,3127,20175
6,890971913173991426,2084,11820
7,890729181411237888,18984,65374
8,890609185150312448,4282,27728
9,890240255349198849,7453,31871
10,890006608113172480,7368,30588
11,889880896479866881,4993,27728
12,889665388333682689,10110,48021
13,889638837579907072,4567,27117
14,889531135344209921,2243,15065
15,889278841981685760,5452,25246
16,888917238123831296,4516,29015
17,888804989199671297,4364,25537
18,888554962724278272,3598,19862
19,888078434458587136,3511,21708
20,887705289381826560,5417,30117
21,887517139158093824,11720,46132
22,887473957103951883,18313,68954
23,887343217045368832,10451,33602
24,887101392804085760,5988,30459
25,886983233522544640,7809,35074
26,886736880519319552,3314,12043
27,886680336477933568,4489,22367
28,886366144734445568,3209,21150
29,886267009285017600,4,116
30,886258384151887873,6318,27921
31,886054160059072513,104,0
32,885984800019947520,6841,32629
33,885528943205470208,6464,35923
34,885518971528720385,3776,20377
35,885311592912609280,18651,0
36,885167619883638784,4401,21899
37,884925521741709313,18533,77355
38,884876753390489601,5813,27876
39,884562892145688576,4890,24245
40,884441805382717440,5672,26937
41,884247878851493888,20545,72869
42,884162670584377345,3000,20345
43,883838122936631299,3460,21853
44,883482846933004288,10020,45868
45,883360690899218434,3694,22519
46,883117836046086144,6705,37146
47,882992080364220416,3941,23905
48,882762694511734784,4945,28261
49,882627270321602560,6125,27849
50,882268110199369728,11675,44908
51,882045870035918850,5010,29289
52,881906580714921986,3414,24242
53,881666595344535552,10740,50468
54,881633300179243008,7,128
55,881536004380872706,16079,49362
56,881268444196462592,5186,23025
57,880935762899988482,2790,16974
58,880872448815771648,3841,21264
59,880465832366813184,6327,28470
60,880221127280381952,4255,27027
61,880095782870896641,4383,27571
62,879862464715927552,3515,22261
63,879674319642796034,10,311
64,879492040517615616,3204,23372
65,879415818425184262,44477,105712
66,879376492567855104,3137,16744
67,879130579576475649,6889,0
68,879050749262655488,4746,22551
69,879008229531029506,2711,18937
70,878776093423087618,4160,19377
71,878604707211726852,7292,30232
72,878404777348136964,1303,0
73,878316110768087041,6700,0
74,878281511006478336,1303,7747
75,878057613040115712,6889,41989
76,877736472329191424,19284,79777
77,877611172832227328,81,0
78,877556246731214848,3847,22711
79,877316821321428993,5208,27331
80,877201837425926144,5638,27102
81,876838120628539392,3381,20642
82,876537666061221889,4642,23430
83,876484053909872640,2421,18742
84,876120275196170240,4721,27890
85,875747767867523072,4330,25182
86,875144289856114688,4966,21903
87,875097192612077568,6087,27419
88,875021211251597312,4758,25474
89,874680097055178752,4692,27837
90,874434818259525634,14910,0
91,874296783580663808,4151,26066
92,874057562936811520,3985,22653
93,874012996292530176,10576,34683
94,873580283840344065,3987,24262
95,873337748698140672,1605,0
96,873213775632977920,1605,7255
97,872967104147763200,5464,27410
98,872820683541237760,3733,14740
99,872668790621863937,28,0
100,872620804844003328,3757,20827
101,872486979161796608,9118,40778
102,872261713294495745,6418,34320
103,872122724285648897,8241,34559
104,871879754684805121,11379,38178
105,871762521631449091,3525,20325
106,871515927908634625,3506,20291
107,871166179821445120,5782,0
108,871102520638267392,5583,21012
109,871032628920680449,3867,22754
110,870804317367881728,6329,33818
111,870726314365509632,3,120
112,870656317836468226,2694,12500
113,870374049280663552,26732,83198
114,870308999962521604,4231,21951
115,870063196459192321,8521,36943
116,869772420881756160,10255,42724
117,869702957897576449,6463,28472
118,869596645499047938,3201,16106
119,869227993411051520,3875,20624
120,868880397819494401,14866,66277
121,868639477480148993,2148,0
122,868622495443632128,5912,27499
123,868552278524837888,2148,10269
124,867900495410671616,4283,24432
125,867774946302451713,7520,34392
126,867421006826221569,2585,16340
127,867072653475098625,131,0
128,867051520902168576,8096,32674
129,866720684873056260,4972,20366
